output is 
36011 0.686275 0.686275
36012 0.443137 0.443137
36013 0.596078 0.596078
36014 0.694118 0.694118
36015 0.443137 0.443137
36016 0.588235 0.588235
36017 0.690196 0.690196
36018 0.443137 0.443137
36019 0.588235 0.588235
36020 0.686275 0.686275
36021 0.447059 0.447059
36022 0.584314 0.584314
36023 0.686275 0.686275
36024 0.45098 0.45098
36025 0.588235 0.588235
36026 0.690196 0.690196
36027 0.439216 0.439216
36028 0.584314 0.584314
36029 0.698039 0.698039
36030 0.435294 0.435294
36031 0.584314 0.584314
36032 0.698039 0.698039
36033 0.447059 0.447059
36034 0.588235 0.588235
36035 0.694118 0.694118
36036 0.45098 0.45098
36037 0.588235 0.588235
36038 0.694118 0.694118
36039 0.447059 0.447059
36040 0.588235 0.588235
36041 0.690196 0.690196
36042 0.443137 0.443137
36043 0.592157 0.592157
36044 0.690196 0.690196
36045 0.435294 0.435294
36046 0.588235 0.588235
36047 0.67451 0.67451
36048 0.439216 0.439216
36049 0.584314 0.584314
36050 0.678431 0.678431
36051 0.443137 0.443137
36052 0.576471 0.576471
36053 0.67451 0.67451
36054 0.443137 0.443137
36055 0.576471 0.576471
36056 0.678431 0.678431
36057 0.439216 0.439216
36058 0.572549 0.572549
36059 0.678431 0.678431
36060 0.435294 0.435294
36061 0.576471 0.576471
36062 0.67451 0.67451
36063 0.431373 0.431373
36064 0.572549 0.572549
36065 0.666667 0.666667
36066 0.431373 0.431373
36067 0.568627 0.568627
36068 0.666667 0.666667
36069 0.435294 0.435294
36070 0.572549 0.572549
36071 0.67451 0.67451
36072 0.439216 0.439216
36073 0.564706 0.564706
36074 0.678431 0.678431
36075 0.439216 0.439216
36076 0.564706 0.564706
36077 0.67451 0.67451
36078 0.427451 0.427451
36079 0.568627 0.568627
36080 0.67451 0.67451
36081 0.423529 0.423529
36082 0.572549 0.572549
36083 0.678431 0.678431
36084 0.427451 0.427451
36085 0.572549 0.572549
36086 0.678431 0.678431
36087 0.427451 0.427451
36088 0.572549 0.572549
36089 0.67451 0.67451
36090 0.427451 0.427451
36091 0.568627 0.568627
36092 0.670588 0.670588
36093 0.427451 0.427451
36094 0.568627 0.568627
36095 0.666667 0.666667
36096 0.580392 0.580392
36097 0.709804 0.709804
36098 0.784314 0.784314
36099 0.580392 0.580392
36100 0.709804 0.709804
36101 0.784314 0.784314
36102 0.580392 0.580392
36103 0.709804 0.709804
36104 0.784314 0.784314
36105 0.580392 0.580392
36106 0.709804 0.709804
36107 0.784314 0.784314
36108 0.580392 0.580392
36109 0.709804 0.709804
36110 0.784314 0.784314
36111 0.580392 0.580392
36112 0.705882 0.705882
36113 0.784314 0.784314
36114 0.584314 0.584314
36115 0.705882 0.705882
36116 0.784314 0.784314
36117 0.584314 0.584314
36118 0.705882 0.705882
36119 0.784314 0.784314
36120 0.588235 0.588235
36121 0.709804 0.709804
36122 0.788235 0.788235
36123 0.588235 0.588235
36124 0.709804 0.709804
36125 0.788235 0.788235
36126 0.588235 0.588235
36127 0.709804 0.709804
36128 0.788235 0.788235
36129 0.584314 0.584314
36130 0.713726 0.713726
36131 0.788235 0.788235
36132 0.584314 0.584314
36133 0.713726 0.713726
36134 0.788235 0.788235
36135 0.584314 0.584314
36136 0.713726 0.713726
36137 0.788235 0.788235
36138 0.584314 0.584314
36139 0.713726 0.713726
36140 0.788235 0.788235
36141 0.584314 0.584314
36142 0.713726 0.713726
36143 0.788235 0.788235
36144 0.584314 0.584314
36145 0.713726 0.713726
36146 0.788235 0.788235
36147 0.584314 0.584314
36148 0.713726 0.713726
36149 0.788235 0.788235
36150 0.584314 0.584314
36151 0.713726 0.713726
36152 0.788235 0.788235
36153 0.584314 0.584314
